X,Y
0.01,0.045241859999999995
0.02,0.03876802
0.03,0.03562234
0.04,0.03380332
0.05,0.03273176
0.06,0.03174992
0.07,0.0312994
0.08,0.030851280000000002
0.09,0.03048168
0.1,0.03037026
0.11,0.03018022
0.12,0.030108080000000002
0.13,0.030166739999999997
0.14,0.03021402
0.15,0.030467140000000004
0.16,0.030941759999999995
0.17,0.030541900000000004
0.18,0.030921900000000002
0.19,0.03090594
0.2,0.03153652
0.21,0.03167446
0.22,0.032063339999999996
0.23,0.03276924
0.24,0.03272042
0.25,0.03309312
0.26,0.03305766
0.27,0.0345645
0.28,0.03381258
0.29,0.034732940000000004
0.3,0.035498020000000005
0.31,0.03561936
0.32,0.03631778
0.33,0.03591516
0.34,0.03749014
0.35,0.03844262
0.36,0.038113299999999996
0.37,0.03869338
0.38,0.039210680000000005
0.39,0.04029498
0.4,0.04175908
0.41,0.04234748
0.42,0.04231178
0.43,0.042170059999999995
0.44,0.04286582
0.45,0.04453119999999999
0.46,0.04628262
0.47,0.046005700000000004
0.48,0.045875599999999996
0.49,0.04787542
0.5,0.04951451999999999
0.51,0.04976537999999999
0.52,0.05174126
0.53,0.053004779999999994
0.54,0.0519602
0.55,0.053700819999999996
0.56,0.055812879999999995
0.57,0.05856212000000001
0.58,0.05846928
0.59,0.06243166
0.6,0.061759259999999996
0.61,0.06477948
0.62,0.06613100000000001
0.63,0.06702846
0.64,0.0717326
0.65,0.07177822
0.66,0.07611988
0.67,0.08061937999999999
0.68,0.08326766
0.69,0.09186906
0.692,0.09374682
0.694,0.09670614000000002
0.696,0.09900592
0.698,0.1025906
0.7,0.10810800000000001
0.702,0.11358359999999998
0.704,0.121269
0.706,0.1321828
0.708,0.1409812
0.71,0.1586624
0.712,0.1765668
0.714,0.20299680000000003
0.716,0.254894
0.718,0.30256700000000003
0.72,0.32697
0.722,0.37703739999999997
0.724,0.43783479999999997
0.726,0.4608046
0.728,0.5392148
0.73,0.6642582
0.74,0.7437693999999999
0.75,0.8085666
0.76,0.8660226
0.77,0.8879292
0.78,0.8832044
0.79,0.9236428
0.8,0.9232678
0.81,0.9320458
0.82,0.9353168000000001
0.83,0.9551244000000001
0.84,0.9466733999999999
0.85,0.9575828
0.86,0.9639576
0.87,0.9682914
