X,Y
0.01,0.36163889870968363
0.02,0.3586319504114396
0.03,0.35825609816511067
0.04,0.35890445970792234
0.05,0.35847464435075704
0.06,0.3576528506426067
0.07,0.35667238206041024
0.08,0.3559347717250924
0.09,0.35655411132347126
0.1,0.3565300495593775
0.11,0.3574701613446656
0.12,0.35589911150619047
0.13,0.35759555462871206
0.14,0.3571861903033952
0.15,0.35864692467877674
0.16,0.3598841400664678
0.17,0.3604160889845093
0.18,0.359923562453667
0.19,0.36161330004769543
0.2,0.3625725766043652
0.21,0.36357957163272403
0.22,0.363501773611948
0.23,0.36473761307578034
0.24,0.3687942751718075
0.25,0.3693661810747222
0.26,0.3697121821979837
0.27,0.37117745922086764
0.28,0.3729205977951329
0.29,0.37441751099795223
0.3,0.37616786796117896
0.31,0.3769853400349331
0.32,0.38006462752299186
0.33,0.38223241402852615
0.34,0.38322139266921423
0.35,0.3840672834112929
0.36,0.38887790038389963
0.37,0.3889085006785167
0.38,0.3923591634329348
0.39,0.3944465131664286
0.4,0.39836302063475804
0.41,0.3995816321117005
0.42,0.40248495035334947
0.43,0.4063825386818219
0.44,0.41011977708044905
0.45,0.4148335001657036
0.46,0.41761505165874435
0.47,0.42007600518319144
0.48,0.4233737497262912
0.49,0.4292977606048994
0.5,0.4334964450533227
0.51,0.43736553870426753
0.52,0.4416647078411732
0.53,0.4484133638280602
0.54,0.45369376464341604
0.55,0.45738405368504464
0.56,0.46392175431329646
0.57,0.4703042526460767
0.58,0.4763667297718065
0.59,0.4844034142784076
0.6,0.4937582092708535
0.61,0.5008142777249122
0.62,0.5109042515338127
0.63,0.5235672775385075
0.64,0.5336825518642676
0.65,0.5472188062169482
0.66,0.5616964856413621
0.67,0.5819757101925519
0.68,0.6064924345969238
0.69,0.6355127291374343
0.692,0.6442906361412192
0.694,0.653710008546907
0.696,0.661778077404063
0.698,0.6767679474188985
0.7,0.685272784481976
0.702,0.6942231708157424
0.704,0.7086670908495052
0.706,0.7217680953419995
0.708,0.7299156996740858
0.71,0.7420440113104576
0.712,0.7548311018851049
0.714,0.7682431916280967
0.716,0.7745639615969975
0.718,0.7839389410083762
0.72,0.7902765684945127
0.722,0.8009116701372673
0.724,0.8057553914127112
0.726,0.8099507642575692
0.728,0.8186563422479317
0.73,0.8218388407013233
0.74,0.8456457456134681
0.75,0.8636778752568668
0.76,0.8825576060481014
0.77,0.8996688240644592
0.78,0.9107604480875764
0.79,0.9269411548433647
0.8,0.9374974061930544
0.81,0.9467750353936374
0.82,0.9491398285869984
0.83,0.9619694800441877
0.84,0.9606290159159769
0.85,0.962770314091221
0.86,0.968209462491181
0.87,0.9623130618098921
