X,Y
0.01,0.004120014
0.02,0.009205785999999999
0.03,0.017018440000000003
0.04,0.02419546
0.05,0.0335801
0.06,0.04230832
0.07,0.05007482
0.08,0.05764564
0.09,0.0704059
0.1,0.08089016
0.11,0.08821076
0.12,0.1019786
0.13,0.11282079999999998
0.14,0.12266459999999998
0.15,0.1354034
0.16,0.14684060000000002
0.17,0.1574712
0.18,0.17118139999999998
0.19,0.18092819999999998
0.2,0.1951958
0.21,0.20755659999999998
0.22,0.2217686
0.23,0.23118899999999995
0.24,0.24490719999999996
0.25,0.2562266
0.26,0.26827799999999996
0.27,0.2820596
0.28,0.2942336
0.29,0.3024672
0.3,0.315198
0.31,0.3262214
0.32,0.3394564
0.33,0.3475012
0.34,0.3576286
0.35,0.3656832
0.36,0.37303559999999997
0.37,0.38413620000000004
0.38,0.3906026
0.39,0.39823759999999997
0.4,0.40673079999999995
0.41,0.41135099999999997
0.42,0.4155906
0.43,0.4209854
0.44,0.42439419999999994
0.45,0.4279578
0.46,0.4331334
0.47,0.4361396
0.48,0.4392766
0.49,0.4429054
0.5,0.4430446
0.51,0.44872560000000006
0.52,0.44914819999999994
0.53,0.4543214
0.54,0.4585174
0.55,0.45901519999999996
0.56,0.464039
0.57,0.4673185999999999
0.58,0.4732362
0.59,0.47911739999999997
0.6,0.4860154
0.61,0.492663
0.62,0.5034286000000001
0.63,0.5111155999999999
0.64,0.5230884
0.65,0.5390164000000001
0.66,0.5560364
0.67,0.5771042
0.68,0.6004456
0.69,0.6375852
0.692,0.6439185999999999
0.694,0.6558604
0.696,0.6664906
0.698,0.6815549999999999
0.7,0.6874786
0.702,0.7003016
0.704,0.7137378
0.706,0.7286509999999999
0.708,0.7368452000000001
0.71,0.7460941999999999
0.712,0.7595738
0.714,0.7727352000000001
0.716,0.7835512
0.718,0.7884472
0.72,0.798762
0.722,0.8067386000000001
0.724,0.8104060000000001
0.726,0.8190992000000001
0.728,0.8224318
0.73,0.8299462
0.74,0.8531889999999999
0.75,0.8728659999999999
0.76,0.890013
0.77,0.9076183999999999
0.78,0.9184438
0.79,0.9355602000000001
0.8,0.9455159999999999
0.81,0.9553864000000001
0.82,0.9603778000000001
0.83,0.9717798
0.84,0.9727726000000001
0.85,0.9751372
0.86,0.9800101999999999
0.87,0.9761122
