X,Y
0.01,0.0641746
0.02,0.05483474000000001
0.03,0.05052978
0.04,0.04772902
0.05,0.046324960000000005
0.06,0.04523426
0.07,0.04460728
0.08,0.04390132
0.09,0.04344268
0.1,0.04332232
0.11,0.04309812
0.12,0.042751460000000005
0.13,0.04285586
0.14,0.04313164
0.15,0.04338698
0.16,0.04362444
0.17,0.04378712
0.18,0.04397572
0.19,0.04444064
0.2,0.045234619999999996
0.21,0.044623199999999995
0.22,0.045589040000000004
0.23,0.04495602
0.24,0.04584466
0.25,0.04582764
0.26,0.0467824
0.27,0.04734822
0.28,0.04737012
0.29,0.04752648
0.3,0.04823708
0.31,0.0476527
0.32,0.04975464
0.33,0.049578540000000004
0.34,0.05118844
0.35,0.0518227
0.36,0.05237588
0.37,0.051065740000000005
0.38,0.051832960000000004
0.39,0.05352738
0.4,0.0536883
0.41,0.054319059999999995
0.42,0.055592600000000006
0.43,0.056391800000000006
0.44,0.05692096
0.45,0.058340899999999994
0.46,0.058881119999999995
0.47,0.05999794000000001
0.48,0.06005308
0.49,0.06042172
0.5,0.06324972
0.51,0.06312698
0.52,0.06489210000000001
0.53,0.06577114
0.54,0.06727633999999999
0.55,0.06843038
0.56,0.06834008
0.57,0.0716156
0.58,0.07119521999999999
0.59,0.07476047999999999
0.6,0.07633648000000001
0.61,0.0778529
0.62,0.07909595999999999
0.63,0.08319266
0.64,0.08540038
0.65,0.08767675999999999
0.66,0.09139723999999999
0.67,0.09775422
0.68,0.10331539999999999
0.69,0.1145038
0.692,0.11736520000000002
0.694,0.1204838
0.696,0.12427139999999999
0.698,0.13067800000000002
0.7,0.1399724
0.702,0.1490424
0.704,0.1618386
0.706,0.1775836
0.708,0.19882880000000003
0.71,0.2241714
0.712,0.2539898
0.714,0.3025176
0.716,0.3619448
0.718,0.43190159999999994
0.72,0.452872
0.722,0.4939674
0.724,0.5627248
0.726,0.5830762
0.728,0.6494394000000001
0.73,0.7211802
0.74,0.7903472
0.75,0.8326646
0.76,0.8768352
0.77,0.8945052
0.78,0.8930181999999999
0.79,0.93001
0.8,0.932393
0.81,0.9379535999999999
0.82,0.9452364
0.83,0.9601978000000001
0.84,0.9513916
0.85,0.9628115999999999
0.86,0.9681396
0.87,0.9706792
