X,Y
0.01,0.20463979999999998
0.02,0.1730558
0.03,0.15716539999999998
0.04,0.14651019999999998
0.05,0.139674
0.06,0.13402619999999998
0.07,0.1303528
0.08,0.1265326
0.09,0.1241768
0.1,0.1207982
0.11,0.1197482
0.12,0.118327
0.13,0.11660780000000001
0.14,0.1150402
0.15,0.11384319999999999
0.16,0.11302699999999999
0.17,0.113187
0.18,0.1114722
0.19,0.1119462
0.2,0.1106054
0.21,0.1101264
0.22,0.1102838
0.23,0.1099968
0.24,0.1097138
0.25,0.10932539999999999
0.26,0.10966800000000002
0.27,0.10968039999999998
0.28,0.10984880000000001
0.29,0.10938600000000001
0.3,0.11035920000000002
0.31,0.11094040000000001
0.32,0.1114494
0.33,0.1111424
0.34,0.11148980000000001
0.35,0.11268320000000001
0.36,0.1125786
0.37,0.1135188
0.38,0.11425840000000001
0.39,0.1147252
0.4,0.11594660000000001
0.41,0.1161408
0.42,0.1172018
0.43,0.11805879999999999
0.44,0.1193332
0.45,0.11982220000000002
0.46,0.1216486
0.47,0.1218936
0.48,0.12445279999999999
0.49,0.12537979999999999
0.5,0.1268254
0.51,0.12818100000000002
0.52,0.1308222
0.53,0.1323226
0.54,0.1351602
0.55,0.1364898
0.56,0.139769
0.57,0.14133880000000001
0.58,0.1445528
0.59,0.147972
0.6,0.1512254
0.61,0.15526440000000002
0.62,0.1612142
0.63,0.166903
0.64,0.17263599999999998
0.65,0.182163
0.66,0.19155480000000003
0.67,0.20747799999999997
0.68,0.2293402
0.69,0.26615120000000003
0.692,0.2794948
0.694,0.2933102
0.696,0.3113494
0.698,0.33874220000000005
0.7,0.36933380000000005
0.702,0.40069980000000005
0.704,0.4407114
0.706,0.47191980000000006
0.708,0.5147024
0.71,0.5463756
0.712,0.5879467999999999
0.714,0.6469894
0.716,0.6761606
0.718,0.7093144
0.72,0.7308220000000001
0.722,0.7434592
0.724,0.7707179999999999
0.726,0.7805060000000001
0.728,0.7977505999999999
0.73,0.8138643999999999
0.74,0.8441544000000001
0.75,0.8645334
0.76,0.8879020000000001
0.77,0.9035759999999999
0.78,0.9114058
0.79,0.9344888000000001
0.8,0.9420884
0.81,0.9513742000000001
0.82,0.955789
0.83,0.9691392000000001
0.84,0.9687582000000001
0.85,0.9689084000000001
0.86,0.9764826
0.87,0.9745258
