X,Y_1,Y_2
0.01,1.0075747885585054,0.0022744429112658278
0.02,1.0006905670849395,0.00934199758129772
0.03,0.9985182366756755,0.021784713618566362
0.04,1.0156024037800833,0.03821787366627132
0.05,1.0118948167661173,0.05946031677638511
0.06,1.0304684235055879,0.08690400943619578
0.07,1.0316181733850422,0.11800980955531572
0.08,1.0269392952863166,0.15132198911642297
0.09,1.0416819293474655,0.19143830629726905
0.1,1.0769768821771672,0.23679826130836296
0.11,1.0795056666729328,0.28213355170256954
0.12,1.1084175894656165,0.32665299680305854
0.13,1.1103598515949094,0.3795404838164575
0.14,1.1220743568558318,0.43425083416780974
0.15,1.163618860126322,0.4879063386826224
0.16,1.1597318293846868,0.5429012723287355
0.17,1.1609450967925552,0.6012041129292292
0.18,1.1960559006819493,0.6588822222196942
0.19,1.194410867092418,0.7063440497409988
0.2,1.2357389408596142,0.7678172715926763
0.21,1.2441863279728815,0.8194958351305252
0.22,1.2165028319721294,0.8813352723062221
0.23,1.224706048319432,0.9138005568083617
0.24,1.2410770271164826,0.9707008585397108
0.25,1.2706017862013739,1.0158074308903673
0.26,1.2590883786526619,1.053434108504953
0.27,1.2293938804061568,1.0908420895962982
0.28,1.2545198360871237,1.123195907173613
0.29,1.2486025995618704,1.134274146853228
0.3,1.2405875627779224,1.179716366630017
0.31,1.2634060789168557,1.186111762349917
0.32,1.2681162837181907,1.2119026959407553
0.33,1.240564042650259,1.2241005146530022
0.34,1.224327242912927,1.226938221571796
0.35,1.1938778165793484,1.229618056738816
0.36,1.2263556495744343,1.2188560668072943
0.37,1.1392128894493445,1.1966122586895465
0.38,1.1734951708251273,1.1763108855191056
0.39,1.125864337425855,1.1400905048832914
0.4,1.0924843386308507,1.126397256310313
0.41,1.0470840243459847,1.0786617968006722
0.42,0.9904580056299824,1.0577782313450084
0.43,0.9818033814273923,0.9863824314234331
0.44,0.9196093296715552,0.9337302350386922
0.45,0.8739196618658893,0.8789498377619039
0.46,0.8060140899783953,0.8038568057511217
0.47,0.729102180129405,0.7296381604185885
0.48,0.6860796592498734,0.6690685506388243
0.49,0.5978946551328153,0.5975503171760757
0.5,0.5088468107614971,0.5104029762073891
0.51,0.43464081155785095,0.43556571136125627
0.52,0.35344356452283376,0.35238547533331604
0.53,0.27126120741932774,0.2849990645926486
0.531,0.2599782760220927,0.279101022493157
0.532,0.25826053924244685,0.2625583032680194
0.533,0.24323204999116457,0.2609318855363308
0.534,0.23724906590171813,0.25008238492723733
0.535,0.2330589752680937,0.23924253558929304
0.536,0.22752299017726102,0.2377382086164058
0.537,0.1694325997871363,0.2222919875084836
0.538,0.20419582717085347,0.22290110457822068
0.539,0.16624452355262914,0.21180794545002732
0.54,0.10001086850326256,0.16922623075190982
0.541,0.05476439022411207,0.0812482718949476
0.542,0.01490216403394326,0.03625580451136393
0.543,0.0028833498818283884,0.038099001286397705
0.544,0.003313125895766727,0.0008090355936915875
0.545,0.004432060568829082,0.0008216070684212661
0.546,0.004593318381411707,0.00081415342877718
0.547,0.0017925365014389047,0.0
0.548,0.0031085609093199364,0.0
0.549,0.0029519054041103,0.0
0.55,0.004057956875017952,0.0
0.56,0.0014187163475256797,0.0
0.57,0.0005597509812265442,0.0
0.58,0.000350838031768729,0.0
0.59,0.0011459131945822296,0.0
0.6,0.0004424828591886399,0.0
0.61,0.0002335115472747841,0.0
0.62,0.0003490228338224803,0.0
0.63,5.264728319865486e-5,0.0
0.64,1.3952827590217404e-6,0.0
0.65,0.00012686251929557236,0.0
0.66,7.782207282150999e-7,0.0
