X,Y_1,Y_2
0.01,10.773936187655579,0.09281658834639907
0.02,5.145314497744341,0.19435157956591204
0.03,3.410085292057199,0.29324779715311194
0.04,2.5907629963665495,0.38598667705323236
0.05,2.068890670530638,0.4833508189891522
0.06,1.740280246759473,0.5746200945865311
0.07,1.5079877766752652,0.6631353486198338
0.08,1.343444276727648,0.7443553985251944
0.09,1.2072808122818202,0.8283077059014553
0.1,1.0975983510829548,0.9110800859106079
0.11,1.0131170087935262,0.9870528194871128
0.12,0.9476734982316003,1.0552157487426241
0.13,0.8883875114631005,1.1256349139274628
0.14,0.8417048423408916,1.1880649245391874
0.15,0.7975052842185164,1.2539101869148244
0.16,0.7623724489524389,1.3116948302290834
0.17,0.726909633541217,1.3756868169821805
0.18,0.6979105545683626,1.432848369256245
0.19,0.6704870121075462,1.4914532003486443
0.2,0.6531765924993815,1.5309795413419487
0.21,0.6307447063102962,1.5854274954597047
0.22,0.6101013461205478,1.6390719449460345
0.23,0.591042193191716,1.6919265858158972
0.24,0.5777885177852932,1.7307370590074638
0.25,0.5648071862702141,1.770515716352061
0.26,0.5473662270467174,1.8269303997717243
0.27,0.5341632991373506,1.8720866851297244
0.28,0.5320727224773679,1.8794423351453349
0.29,0.5235273444316374,1.9101199023054674
0.3,0.5091277221599168,1.9641436843344793
0.31,0.5058795526904059,1.9767551281361866
0.32,0.4958560922845891,2.016714154690803
0.33,0.4834258717100451,2.0685694715978955
0.34,0.4814625290422672,2.07700483356247
0.35,0.4765983501552141,2.098202815167802
0.36,0.47043729687700453,2.12568179997312
0.37,0.4659717631218544,2.146052785045033
0.38,0.4612478790592153,2.1680316493588023
0.39,0.45804634362069524,2.183185203696534
0.4,0.4514162986401575,2.215250098439935
0.41,0.4508551219618198,2.218007407010636
0.42,0.4453043441712871,2.245655163910434
0.43,0.4469640686945823,2.237316308043804
0.44,0.4476377785948216,2.2339490718122517
0.45,0.44260267590832586,2.259362752264799
0.46,0.4442498237783895,2.250985698755937
0.47,0.4444995300793955,2.249721163532799
0.48,0.4479115849633243,2.2325834686367436
0.49,0.45140038032478297,2.2153282176689775
0.5,0.4439691855054895,2.2524085739451287
0.51,0.4451516615298356,2.246425401543686
0.52,0.4481470906954027,2.231410223925076
0.53,0.4545664188757592,2.199898537320939
0.54,0.4558705288203067,2.1936052821571543
0.55,0.46497857118949015,2.1506367431983775
0.56,0.47619346939857804,2.0999868000352424
0.57,0.47672932334220525,2.0976263700107687
0.58,0.48881706301728456,2.045755100747455
0.59,0.49717438151979476,2.01136670989188
0.6,0.5099473947835008,1.9609865845565346
0.61,0.5270892253705884,1.89721199346641
0.62,0.5446883257164374,1.8359123057845672
0.63,0.5732534859564404,1.7444289908356294
0.64,0.5945326715506036,1.6819933501583606
0.65,0.6345384081982588,1.5759487323067674
0.66,0.6880234664402446,1.4534387979146797
0.67,0.7846315548675362,1.2744835379056645
0.68,0.9257949615642267,1.0801527784406995
0.69,1.165350306631808,0.8581110712454204
0.692,1.2290357281702426,0.8136459966780418
0.694,1.355335598778631,0.7378246398169989
0.696,1.4606144285611873,0.684643380515605
0.698,1.6307429686827866,0.6132174224903991
0.7,1.8460168122820904,0.5417068757698777
0.702,1.908158702772668,0.5240654241950319
0.704,2.2917799576976203,0.4363420653196675
0.706,3.6569137877060323,0.27345462815170607
0.708,4.886901979786777,0.20462861832224258
0.71,7.048038222588604,0.14188345301463476
0.712,9.49520862128376,0.10531627475340286
0.714,11.039084958271099,0.09058721839537472
0.716,29.284639292521813,0.03414759492207104
0.718,59.15806468017167,0.01690386603088413
0.72,80.1820855715453,0.01247161373855404
0.722,124.2909437623442,0.008045638481208194
0.724,Inf,0.0
0.726,Inf,0.0
0.728,Inf,0.0
0.73,Inf,0.0
0.74,Inf,0.0
0.75,Inf,0.0
0.76,Inf,0.0
0.77,Inf,0.0
0.78,Inf,0.0
0.79,Inf,0.0
0.8,Inf,0.0
0.81,Inf,0.0
0.82,Inf,0.0
0.83,Inf,0.0
0.84,Inf,0.0
0.85,Inf,0.0
0.86,Inf,0.0
0.87,Inf,0.0
