X,Y_1,Y_2,Y_3,Y_4,Y_5
0.01,0.014337013086685692,115.6,0.04058958,0.104165219927501,3.77575143114329
0.02,0.03041627639077054,181.2,0.0414261,0.06586581158206387,3.981322082216404
0.03,0.048379228634676565,240.6,0.040739199999999996,0.05026064331948094,4.082370482725932
0.04,0.06838465068911345,288.2,0.04079728,0.04146931305391772,4.134149216801342
0.05,0.09057734881967618,332.4,0.040960960000000005,0.03579089527345437,4.173140556385979
0.06,0.11511070312378682,375.0,0.04037068,0.03179571044070445,4.192753238055424
0.07,0.1422047048219705,419.2,0.03967064,0.0287993963646522,4.209108488309184
0.08,0.17197008501210573,451.8,0.0402041,0.026496430047658243,4.217277057429929
0.09,0.20478297368519796,487.0,0.03996906,0.024673244005224148,4.203457293811057
0.1,0.2407111635687381,522.6,0.03973854,0.023199308351287022,4.211742677117297
0.11,0.28006248813502904,545.8,0.03940382,0.0220094963640312,4.198345500431725
0.12,0.3232133955941455,569.8,0.03931304000000001,0.021020635958320284,4.194624241126216
0.13,0.3703579491353731,594.4,0.03933098,0.020199422161863358,4.198422909465746
0.14,0.4216150454913291,612.0,0.0396109,0.019536267615608307,4.194422735446974
0.15,0.4776347743155333,634.2,0.039133419999999995,0.018979329612119438,4.190798042572224
0.16,0.5385834637549041,646.0,0.03891232,0.01853884258297986,4.180088634950747
0.17,0.6047903173027986,661.2,0.03872526,0.018187026284799738,4.187337400783666
0.18,0.6771470691916992,671.4,0.038298879999999993,0.017901464966385526,4.2027791479838585
0.19,0.7555165327746451,676.8,0.03884716580001267,0.017701524853604704,4.218410644929327
0.2,0.841036018124907,685.6,0.038117780000000004,0.0175443213417897,4.226073602785078
0.21,0.9335739526578914,686.2,0.03782012,0.01747763881760278,4.248198951125454
0.22,1.0342196282879947,693.0,0.037916860000000004,0.01745557628566865,4.260114007487365
0.23,1.143804142164754,684.8,0.03752032,0.01749516987518363,4.282912126477514
0.24,1.262580025363939,682.2,0.03724672,0.017573590876260245,4.2976494736325765
0.25,1.391257847516217,678.2,0.037362980000000004,0.017705904919290583,4.313244795999994
0.26,1.5308872859861975,673.4,0.036779059999999995,0.01788740771215584,4.3459973446957
0.27,1.6822005935130022,661.2,0.036318279999999994,0.018156586029233316,4.367925029057837
0.28,1.8475696614627553,649.6,0.03624194,0.018472269429132986,4.376423660814627
0.29,2.025036901051082,632.2,0.03575188,0.018811307225956097,4.3829235620867975
0.3,2.2188354677323274,626.4,0.03571186414951818,0.01924053957638069,4.392355933495096
0.31,2.4280927226106273,605.0,0.034899599999999996,0.019741134503258772,4.407493172212393
0.32,2.6555573489428212,591.6,0.03468322,0.020298077264631106,4.429772546826917
0.33,2.903325763730083,571.4,0.034299948407543426,0.0209799659027475,4.431461059713714
0.34,3.1739364847710165,554.2,0.0335023,0.021724309103607935,4.423130744920418
0.35,3.464846011243453,536.2,0.03265287888791689,0.022567873761896475,4.439942076667014
0.36,3.782497109095916,510.8,0.03220519967057699,0.023536878161463586,4.436421786818396
0.37,4.128301264068387,485.4,0.03192632544346251,0.024627114304701995,4.428638762033792
0.38,4.503745960266408,461.8,0.030496305209834273,0.02585218348265421,4.428340153299695
0.39,4.913352631116426,431.6,0.03043848,0.027324096574286933,4.400865981896015
0.4,5.358354799098153,415.8,0.0290379,0.028971763153904765,4.396684287917877
0.41,5.8435250212160845,384.8,0.02704668558111758,0.030888490413956086,4.385899984039471
0.42,6.370649859209124,363.8,0.026158419999999998,0.033130994984519546,4.360241301086283
0.43,6.951536705194779,333.2,0.02369934,0.035724407629780824,4.342420377358842
0.44,7.579868092896284,305.4,0.02088922,0.03896187385833594,4.288427165631653
0.45,8.270344847099375,280.6,0.019541720000000002,0.0425320159750252,4.241000147531812
0.46,9.022540167616583,250.6,0.01682522,0.04710814853199232,4.199197960553503
0.47,9.849319213355963,222.8,0.012674459999999999,0.05262631631573684,4.148798099219545
0.48,10.754765707227843,200.4,0.009642666,0.0594504401314251,4.077853365489782
0.49,11.74604202653887,177.4,0.006935414000000001,0.06806409823010658,3.9901671069362266
0.5,12.849510301040032,149.6,0.004682258,0.0791131938391919,3.90200775212357
0.51,14.059710984530323,127.0,0.005342538,0.09423279583993617,3.7816117266226015
0.52,15.405983483109882,103.0,0.005811472,0.11425372324320618,3.6541983938674307
0.53,16.890872717598818,83.6,0.007231051999999999,0.14319439976248824,3.4989886074696583
0.531,17.061385269751394,82.2,0.007425454000000001,0.14580181887769048,3.489566419603759
0.532,17.218168431179794,78.0,0.00631694511167546,0.1508148431717292,3.447048779538867
0.533,17.379629623905807,77.4,0.007126344,0.15398379166608922,3.456496860011768
0.534,17.54744069789731,75.4,0.007315802000000001,0.15739921924740613,3.438282341670866
0.535,17.700380859747394,71.8,0.007314070000000001,0.1633781815518259,3.40399532528174
0.536,17.86886083177235,70.6,0.00840361,0.1676306827849156,3.3951616830446603
0.537,18.027892573451407,67.2,0.007732606,0.17233356885587747,3.3753808236619465
0.538,18.199895820141172,67.6,0.008585846,0.1767243436016068,3.363996716474218
0.539,18.371831547123257,64.6,0.010408844,0.1825500970710141,3.3498745514383104
0.54,17.936455018428788,53.6,0.012948142000000001,0.20214387050933183,3.5108711874786125
0.541,15.001836369189803,32.0,0.32914162,0.350849084020754,2.7133205483126623
0.542,13.906116555427937,21.0,0.39345042199999997,0.46867457268595836,2.627175377618576
0.543,14.068960904519312,21.4,0.4207590600000001,0.4983334897546788,2.3778682614910074
0.544,12.876059604524318,12.2,0.49834520000000004,0.7435285136988933,2.302920859780645
0.545,12.97645039344918,12.2,0.5641668,0.8341814177747378,1.819544822126637
0.546,13.60567788998657,12.2,0.45533967294159955,0.6770998108246606,2.2978845410547577
0.547,13.76272747504811,12.0,0.49675748,0.6938148716905033,2.123602450879722
0.548,13.938533654404532,12.0,0.46550640000000004,0.692040724289822,2.3154899339008326
0.549,13.336084312665884,12.0,0.5527960000000001,0.7843537121500311,1.914175162811785
0.55,13.418760794157546,12.0,0.5899524,0.8139577474533297,1.804530972974733
0.56,15.117018494373443,12.0,0.52009956,0.8117629868548514,1.8069186424182941
0.57,15.725179836962559,12.0,0.7105686000000001,0.9282092059789051,1.1838668536108015
0.58,18.642971852984545,12.0,0.5851329999999999,0.9321503309910467,1.1522825872127227
0.59,18.879295180743817,12.0,0.7893946,0.9731823386869177,0.7493460620551763
0.6,21.839191895462733,12.0,0.7563978,0.9740322989110319,0.7957770353423944
0.61,27.55908740480201,12.0,0.6754444,0.9890071851372001,0.7124971881234032
0.62,33.48652126416547,12.0,0.6710233999999999,0.9859437289049123,0.8270251610548259
0.63,33.40638044511105,12.0,0.7536619999999999,0.9955928423511919,0.607308582375998
0.64,37.90215447304301,12.0,0.8476549999999999,1.0005386232922058,0.5145930104578722
0.65,41.74738961654968,12.0,0.8354646000000001,1.0058625019488585,0.476671413633931
