X,Y_1,Y_2,Y_3,Y_4,Y_5
0.01,0.014337082658192085,117.0,0.040913899999999996,0.07841005593771654,3.7882511912279946
0.02,0.030424848361510427,185.6,0.04087586,0.04943416223602266,3.988982456986102
0.03,0.04838636005345896,239.4,0.040269719999999995,0.03777461896997022,4.079984115278852
0.04,0.06838354916233122,287.6,0.039723140000000004,0.031216122038098187,4.135366185778926
0.05,0.09053919472052385,336.6,0.04048524,0.02696551102181668,4.180514677383362
0.06,0.11513480960232894,376.2,0.040741320000000004,0.023916677790702844,4.196969400503529
0.07,0.1422275286426366,414.6,0.04001586,0.02165940289127843,4.196097567962132
0.08,0.17199013972177182,451.8,0.0397526,0.019946605829887033,4.204336584950678
0.09,0.20472267821948936,486.0,0.03979568,0.01856840287059694,4.209301422138365
0.1,0.2406456204439026,515.2,0.0399718,0.017472910216718266,4.204432406897886
0.11,0.28013377673477136,544.8,0.03971052,0.016555860352876334,4.186613518303399
0.12,0.3232734550613074,570.8,0.03946638,0.015815402205118935,4.182787842747916
0.13,0.37013790294023546,594.2,0.03942146,0.01520785756148825,4.173042116397767
0.14,0.4215383175082377,615.2,0.03877998,0.014698303884095978,4.190998089717329
0.15,0.47750566130852706,632.6,0.03920452000000001,0.014289005662433872,4.193869280185689
0.16,0.53874744063366,647.4,0.03878874,0.013946014868336026,4.166515773284629
0.17,0.6051789245764303,662.0,0.03852046,0.013677843317654053,4.195354964472491
0.18,0.6773565304562623,672.6,0.03854358,0.01347032188251552,4.208468545430142
0.19,0.7559066618565919,679.6,0.03815772,0.013324405145728855,4.22043259877035
0.2,0.8415239763100146,681.6,0.03814628,0.01321509312908819,4.216432337499123
0.21,0.9340889935039316,688.8,0.03815312,0.013146133173386285,4.2443408016983755
0.22,1.0343624719359652,688.8,0.03801878,0.013138715443941625,4.259953607766894
0.23,1.1438279142658405,687.4,0.037436939999999995,0.01315682498275625,4.271030871492543
0.24,1.262946154901204,684.6,0.03747954,0.013228044156764188,4.30367241345683
0.25,1.3913170273990512,676.6,0.03735288,0.013322230982404622,4.3271995460978365
0.26,1.5307074024221703,672.2,0.03728321999999999,0.013476574042954303,4.359020854565121
0.27,1.6822374875777844,657.2,0.03683712,0.013667661797568457,4.34524719990988
0.28,1.8464718048451416,649.0,0.036475339999999995,0.013904689283318745,4.366247644262935
0.29,2.024959642967464,637.4,0.03597495999999999,0.014174671510228838,4.400630655051858
0.3,2.2198610238364016,620.4,0.035764580000000004,0.014494284308195672,4.418556300488332
0.31,2.4295603219283572,605.6,0.035144140000000004,0.014852701662022249,4.417990323572435
0.32,2.6564413033219783,594.6,0.03476162,0.015275114453404641,4.4150920025964115
0.33,2.9035894838307192,567.2,0.03384074,0.015779579371983227,4.427741160009353
0.34,3.17306075298859,551.8,0.03358394,0.016325500467889206,4.423491260373842
0.35,3.46577328207402,525.2,0.03380586,0.016991410211781088,4.432245006393968
0.36,3.7834535332939367,508.8,0.03285188,0.017683656423984756,4.419779776405671
0.37,4.128889600815546,488.8,0.03155482,0.018518351419658245,4.433084275595933
0.38,4.504119259359411,467.2,0.030042759999999995,0.019469926402384517,4.434172162340689
0.39,4.913409094790448,435.2,0.02964534,0.02057001024627974,4.419260018414191
0.4,5.357933528152583,415.2,0.02851456,0.02177036722727974,4.39949479511295
0.41,5.843485200563546,387.4,0.02722066,0.023226383937527965,4.394313581262131
0.42,6.372774052586932,361.6,0.02534304,0.024942560294427176,4.356801537831066
0.43,6.9510228268394245,332.8,0.02384178,0.026860786167319795,4.3320744649059915
0.44,7.581634958145271,310.2,0.02087462,0.029229203567322334,4.303483940426425
0.45,8.270256334633931,284.6,0.01865714,0.03196729494378642,4.255768565468113
0.46,9.02369478440615,254.6,0.015874779999999998,0.035388422225026465,4.208306849320076
0.47,9.84784679874753,227.2,0.012950439999999999,0.039717866794279924,4.1433103087660355
0.48,10.756727277056468,196.0,0.009902563999999999,0.04456152055949135,4.089933657916232
0.49,11.749535800271442,173.8,0.005590734,0.05126097456025123,3.9961223739265868
0.5,12.840819351909559,149.0,0.004266764000000001,0.05970050576840436,3.9011613400484064
0.51,14.060859717535942,125.6,0.004411591999999999,0.07112028227584902,3.780960336322822
0.52,15.411192653775919,104.6,0.005822584,0.085918336666673,3.6521351832417337
0.53,16.893035684210606,82.0,0.005783272000000001,0.10780580914527542,3.5124858620158053
0.531,17.049597462811093,79.4,0.007745202000000001,0.11067763392545255,3.471541059917906
0.532,17.201838078573054,78.4,0.006215224,0.11324244341828146,3.4646392545020546
0.533,17.371183157684214,76.6,0.007777572000000001,0.11671202451805558,3.460893615774803
0.534,17.55709050340886,74.2,0.008441807999999999,0.11847386765616182,3.4251943688186097
0.535,17.696498220501418,72.0,0.006810856,0.12294181380428264,3.4175764608034456
0.536,17.871875921338074,70.4,0.007014636,0.12565967852274315,3.401555264500498
0.537,18.04408794466407,68.6,0.008069144,0.12862210824597334,3.3937144963243804
0.538,18.199705650289204,66.2,0.0072727600000000005,0.13349228228340101,3.374306050238905
0.539,18.375106121112104,65.4,0.007599516000000001,0.13721489919795385,3.3568559339474886
0.54,18.268700859823117,62.0,0.016261202000000002,0.14577278301067448,3.4663819367889817
0.541,18.117992002652848,51.6,0.01299163,0.15408378335581174,3.4825762840735344
0.542,12.74806744458248,12.0,0.5038058,0.5683999823751942,2.26280312151924
0.543,14.891947922884686,28.8,0.34963669999999997,0.2981656374503965,2.7249445567366766
0.544,12.901043346199382,12.2,0.5425344,0.5774572950186474,2.0934209632722136
