X,Y_1,Y_2,Y_3,Y_4,Y_5
0.05,0.06069448973925943,699.4,0.033963480000000004,0.007613708184396653,4.76451549313582
0.06,0.07429416710355403,744.0,0.03297928,0.007168105395131816,4.75687935086229
0.07,0.08844363386557068,781.4,0.03211318,0.006833181216727931,4.753231080335519
0.08,0.10317364585971993,817.6,0.03174734,0.006582484278507111,4.74136465809296
0.09,0.11850325831610645,837.6,0.03163207999999999,0.006391460058958249,4.739240153944796
0.1,0.134463705286363,860.4,0.03135856,0.006245336312521272,4.7442534785436035
0.11,0.1510579350398978,875.2,0.031158360000000003,0.00613404600762537,4.753081271738557
0.12,0.16838602926888208,886.2,0.03112476,0.006045469572297634,4.772096993563685
0.13,0.18648203210004938,900.2,0.03105254,0.005974686873102091,4.799089061123077
0.14,0.20529862955476158,908.4,0.031015599999999997,0.005930048791736024,4.817422565853235
0.15,0.2248656847391413,904.8,0.03141778,0.005905023946079447,4.843407903320353
0.16,0.2454825324903096,913.2,0.031879,0.005879009118146446,4.8755438885357325
0.17,0.2668577398895602,911.8,0.031544699999999995,0.005876318567244307,4.898931466241559
0.18,0.28923821904300323,911.8,0.03195838,0.0058775434577697395,4.923246591178097
0.19,0.3126834317553946,912.4,0.03243886,0.005882859795923812,4.94977939291467
0.2,0.3371051553809693,898.2,0.03224782,0.005906125969982389,4.973939995395604
0.21,0.362689414593825,906.2,0.03237398,0.005939312152583357,4.994233308121881
0.22,0.3895043984852056,895.2,0.03339736,0.005973414530319742,5.009035207900927
0.23,0.41748023941540174,889.8,0.03330458,0.0060128715686397225,5.031750874196126
0.24,0.44684570671020635,888.8,0.03380482,0.006064724361659579,5.041508251741778
0.25,0.4776587422963412,875.8,0.033772039999999996,0.00612165573264613,5.052203583808212
0.26,0.5098260982626629,866.4,0.03398758,0.006178427000047543,5.061550181422043
0.27,0.5436919176623191,852.6,0.03445844,0.006250316582020186,5.068881630265056
0.28,0.5794747852551637,843.6,0.03455172,0.006323081244542228,5.079539026149307
0.29,0.6169511268347637,831.2,0.03469216,0.0064129873244563925,5.087279270796481
0.3,0.6559826910684571,824.8,0.03582834,0.006498904729197405,5.090557214978333
0.31,0.6970468947595758,801.4,0.036862660000000005,0.0066040776865400296,5.094648744732464
